中省市,#genre#
CCTV-1,http://ivi.bupt.edu.cn/hls/cctv1.m3u8
CCTV-2,http://ivi.bupt.edu.cn/hls/cctv2.m3u8
CCTV-3,http://ivi.bupt.edu.cn/hls/cctv3.m3u8
CCTV-4,http://ivi.bupt.edu.cn/hls/cctv4.m3u8
CCTV-5,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225984/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225986/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225987/index.m3u8
CCTV-6,http://ivi.bupt.edu.cn/hls/cctv6.m3u8
CCTV-7,http://ivi.bupt.edu.cn/hls/cctv7.m3u8
CCTV-8,http://ivi.bupt.edu.cn/hls/cctv8.m3u8
CCTV-9,http://ivi.bupt.edu.cn/hls/cctv9.m3u8
CCTV-10,http://ivi.bupt.edu.cn/hls/cctv10.m3u8
CCTV-11,http://ivi.bupt.edu.cn/hls/cctv11.m3u8
CCTV-12,http://ivi.bupt.edu.cn/hls/cctv12.m3u8
CCTV-13,http://ivi.bupt.edu.cn/hls/cctv13.m3u8
CCTV-14,http://ivi.bupt.edu.cn/hls/cctv14.m3u8
CCTV-15,http://ivi.bupt.edu.cn/hls/cctv15.m3u8
CCTV-17,http://ivi.bupt.edu.cn/hls/cctv17.m3u8
CETV1,http://211.137.115.110:8080/gitv_live/G_CETV-1/G_CETV-1.m3u8#http://125.210.152.18:9090/live/ZGJY.m3u8
陕西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225821/index.m3u8
陕西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225565/index.m3u8
陕西一套,http://211.137.115.110:8080/gitv_live/G_SHANXI-1/G_SHANXI-1.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226357/index.m3u8
陕西二套,http://211.137.115.110:8080/gitv_live/G_SHANXI-2/G_SHANXI-2.m3u8
陕西三套,http://211.137.115.110:8080/gitv_live/G_SHANXI-3/G_SHANXI-3.m3u8
陕西四套,http://211.137.115.110:8080/gitv_live/G_SHANXI-4/G_SHANXI-4.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226360/index.m3u8
陕西五套,http://211.137.115.110:8080/gitv_live/G_SHANXI-5/G_SHANXI-5.m3u8
陕西六套,http://211.137.115.110:8080/gitv_live/G_SHANXI-6/G_SHANXI-6.m3u8
陕西七套,http://211.137.115.110:8080/gitv_live/G_SHANXI-7/G_SHANXI-7.m3u8
陕西八套,http://211.137.115.110:8080/gitv_live/G_SHANXI-8/G_SHANXI-8.m3u8
农林卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8
榆林一台,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226377/index.m3u8#http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225663/index.m3u8#http://live.ylwltv.com:8089/hls/576p/yltv1.m3u8
榆林二台,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226039/index.m3u8#http://live.ylwltv.com:8089/hls/576p/yltv2.m3u8
绥德一套,http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225995/index.m3u8
凤凰卫视,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzw
凤凰卫视,http://221.179.217.70/PLTV/88888888/224/3221225942/1.m3u8
凤凰卫视,http://112.17.40.140/PLTV/88888888/224/3221226368/index.m3u8
凤凰资讯,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzx
凤凰资讯,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225949/1.m3u8#http://125.210.152.18:9090/live/FHZX_1200.m3u8
凤凰香港,http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8#http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8
凤凰电影,rtmp://ivi.bupt.edu.cn:1935/livetv/fhdy
购物,#genre#
电视指南,http://39.135.19.139:18890/PLTV/88888888/224/3221225673/1/index.m3u8?fmt=ts2hls
中视购物,http://39.130.215.158:6610/gitv_live/G_ZHONGSHIGOU/
家有购物,http://211.137.115.110:8080/gitv_live/G_JIAYOUGOU/G_JIAYOUGOU.m3u8
优购物,http://211.137.115.110:8080/gitv_live/G_YOUGOU/G_YOUGOU.m3u8
好享购物,http://211.137.115.110:8080/gitv_live/G_HAOXIANG/G_HAOXIANG.m3u8
央广购物,http://211.137.115.110:8080/gitv_live/G_YANGGUANGGOU/G_YANGGUANGGOU.m3u8
风尚购物,http://211.137.115.110:8080/gitv_live/G_FENGSHANG/G_FENGSHANG.m3u8
